Developer;Název projektu;Odkaz na web;Počet jednotek
MS Invest;Byty Dělnická;;1
HOSTIVAŘSKÁ IS;Pod Jalovým Dvorem;https://www.podjalovymdvorem.cz;17
SPGroup;Rezidence Zličínské prameny;https://www.viladomyzlicin.cz;44
VIVUS;Vivus Uhříněves VI - domy;https://www.vivus.cz;15
Park Nebušice;Sunset Nebušice;;19
EKOSPOL;Ekocity Hostivař - dům B;;125
Luxury Home;Nové Kbely;https://www.novekbely.cz;100
CONTI Development;Sky City Villas II;;4
BEMETT;Viladomy Čimický háj A3;https://www.premiovebydleni.cz;18
BELANDRA;Rezidence Kloboučnická;https://www.rezidence-kloboucnicka.cz;23
První Hodkovičská;Rezidence nad lesem;;6
SFG Development;Gotthard Yard;https://www.gotthardyard.cz;25
Czech Buildings;Křižíkova;;3
YIT CZ;SIJA Kamýk;;122
BEMETT;Viladomy Čimický háj A1;https://www.premiovebydleni.cz;18
YIT CZ;TORNIO;;72
Real Luxembourg;Elišky Přemyslovny 428;https://www.elisky-premyslovny428.cz;9
City Home;Mělnická 12;;4
FINEP CZ;Malý háj XIII;https://www.finep.cz;69
UBM Development Czechia;Neugraf;;177
RS Real Estate;Garden Living;https://gardenliving.cz;82
ED Group;Bytový dům Stodůlky;;32
Maloja Investment SICAV;Loko Libeň;https://www.lokoliben.cz;25
CPI Property Group;Zahraďák AB;https://zahradak.cz;251
RE/MAX Future;Na Neklance 805;;24
YIT CZ;Kemi;https://www.yit.cz;18
Bydlení mezi vrchy;Bydlení mezi vrchy;;27
Neocity;Veni Vidi Vinoř;https://www.vidivinor.cz;126
BAK Development;Rezidence Pod Jankovem;;9
CPI Property Group;Zahraďák I;https://zahradak.cz;46
Strakonická CZ;Strakonická 15;https://www.strakonicka15.cz;34
Geosan Development;Benkova Rezidence;https://www.benkova-rezidence.cz;40
VI Group CZ;Kolčavka;;54
EBM Group;Villa Resort Kbely I.;https://www.ebmgroup.cz;16
FINEP CZ;Byty Britská čtvrť XV;;29
UBM Development Czechia;Arcus City II;https://www.arcus-city.cz;66
VITKOVIA CENTRUM;Vitkovia centrum;https://vitkovia.cz;14
MS Invest;Výhledy Řeporyje;https://www.vyhledyreporyje.cz;105
SQUARE Real Estate;Varta;;37
ARKADE Bau;Rezidence Dalejská;https://arkadebau.cz;14
Daramis;Zelené město Heights;;175
WADIA;Viladomy Uhříněves;https://www.viladomy-uhrineves.cz;63
ECC CITY;Villa pod Menhirem;;44
ABC claim;Rezidence Seifertova;https://rezidence-seifertova.cz;32
Boutiq Development;Lario - domy;https://www.lario.cz;8
CENTRAL GROUP;Viladomy Pitkovice EFGH;;97
City Home;Vosmíkových 3;https://www.city-home.cz;7
Tempus development;Park Újezd;;37
Real Luxembourg;Výhledy Podolí;;20
Boutiq Development;Chlumova 3;https://chlumova3.cz;27
Uhříněvská Zahrada;Uhříněvská Zahrada;https://uhrinevskazahrada.cz;86
YIT CZ;RIVI Bachova;https://www.yit.cz;39
Star Group;Nové Chabry - H;;120
PSN;Pecháčkova 6;https://psn.cz;22
Linkin Invest II;Nové Modřany;https://www.novemodrany.cz;150
Realitní Fond Praha;Žitomírská 2;;22
UBM Development Czechia;Arcus City;;150
PNYD;Terasy Hlibert;https://www.terasyhilbert.cz;3
SHD Real Estate;Rezidence Klíčov;https://rezidenceklicov.cz;55
VP Developers;Rezidence Uhříněves;https://rezidenceuhrineves.cz;15
CS Developia;Blok 12;https://www.blok12.eu;39
Rezidence Kardašovská;Rezidence Kardašovská;https://www.kardasovska.cz;36
VIVUS;Vivus Zahradní Město;https://www.vivus.cz;37
CENTRAL GROUP;Harfa Living - C;;235
Casu Invest;Suchdolské náměstí;https://www.suchdolskenamesti.cz;103
CRONESTA DEVELOPMENT;Výhledy Rokytka;;18
Střížkovský Dvůr;Střížkovský Dvůr;https://www.strizkovskydvur.cz;34
EVROPA Development Group;Rohák u Botiče;https://rohakubotice.cz;18
JRD Development;Horizont Kamýk;https://www.horizontkamyk.cz;77
BEMETT;Viladomy Čimický háj B3;https://www.premiovebydleni.cz;20
BAK Development;Rezidence Elišky Přemyslovny;;35
Trigema;PAPRSEK Stodůlky;https://c.bydleni-stodulky.cz;229
WADIA;Viladomy Uhříněves II.;https://www.viladomy-uhrineves.cz;88
CANABA Development;BD Čakovice I.;;34
U Práčského dvora;U Práčského dvora;;32
EXAFIN;Radotínsky dvůr;;72
